,English,Hindi
854,salahuddin,सलाहुद्दीन
855,flashlight,टॉर्च
856,identified,पहचान की
857,kavitavali,कवितावली
858,transition,संक्रमण
859,sarajuddin,सराजुद्दीन
860,midfielder,मिडफील्डर
861,impediment,बाधा
862,accoriding,अनुसार
863,censorship,सेंसरशिप
864,aboriginal,आदिवासी
865,bushelfuls,बुशेलफुल
866,leucocytes,ल्यूकोसाइट
867,kumbakaran,कुम्भकर्ण
868,unpleasant triviality,अप्रिय तुच्छता
869,indirectly,परोक्ष रूप से
870,benefiting generating,लाभ उत्पादक
871,unromantic,अरोमांटिक
872,absolution,मुक्ति
873,unresolved literateur,अनसुलझे साहित्यकार
874,expressing corrugated,जताते नालीदार
875,recordings sarwajrञan ashokavadi,रिकॉर्डिंग सर्वजन अशोकवादी
876,jambavanth inflexions prejudices,जाम्बवन्त विभक्तियाँ पूर्वाग्रहों
877,additional,अतिरिक्त
878,garikapadu collembola,गरिकापाडु कोलेम्बोला
879,horrifying,भयानक
880,transilate initiators,अनुवाद करना आरंभकर्ताओं
881,shravasthi,श्रावस्ती
882,retrieving,पुनः प्राप्त करना
883,inordinate,असामान्य
884,demagogues upstanding,नेताओं ऊपरवाला
885,billonaire,अरबपति
886,allotments criticises,आवंटन की आलोचना
887,gargantuan,विशाल
888,lightening accidental,बिजली चमकना आकस्मिक
889,paramedics,सहयोगी
890,diminutive,अल्पार्थक
891,infuriated mlechchoan benefiting,व्यथित म्लेच्छोअन लाभ
892,parushuram,परशुराम
893,negotiates geetanjali,बातचीत गीतांजलि
894,ghadhatmak sculptured abhorrence,गधातमक तराशे घृणा
895,thunderous,गरजनदार
896,adventures nirmebdhne,एडवेंचर्स निर्मेधने
897,assumtions brilliance population,धारणाएँ प्रतिभा जनसंख्या
898,wardathoan,वार्डथोअन
899,heroically kimpurusha,वीरतापूर्वक किम्पुरुष
900,plagiarism,साहित्यिक चोरी
901,headoffice karvanseri slackening,प्रधान कार्यालय कारवांसेरी ढीला होना
902,judicature jayshankar cantonment,महकमा जयशंकर छावनी
903,prescribes triviality dhyansingh,निर्धारित करता है तुच्छता ध्यानसिंह
904,screenshot fitzgerald,स्क्रीनशॉट फिजराल्ड़
905,manchester astadhyayi,मैनचेस्टर अष्टाध्यायी
906,difficulty,कठिनाई
907,biopolymer,जैव बहुलक
908,ejectments sunderbans uttarakand,निष्कासन सुंदरबन उत्तराखंड
909,screeching,रोते
910,phosphoric,फॉस्फोरिक
911,profitable,लाभदायक
912,tenmaymabu,तेनमयमाबु
913,synonymous terrorisim transfered,पर्याय आतंकवादी स्थानांतरित
914,silhouette,सिल्हूट
915,evideritly professing,स्पष्ट रूप से प्रोफ़ेसिंग
916,propensity deilephila,प्रवृत्ति डेइलेफिला
917,childishly idolatrous gratifying,बच्चों जैसा मूर्तिपूजक संतोषजनक
918,incidences parmeshwar,घटनाओं परमेश्वर
919,limitation regression,परिसीमन प्रतिगमन
920,chaturvedi scientific senescence,चतुर्वेदी वैज्ञानिक बुढ़ापा
921,interspace abhiyukutt,कसिमस में चलना अभियुकुट्ट
922,militarist,सैनिकवादी
923,unresolved,अनसुलझे
924,adjustment,समायोजन
925,resonating submission individual,गूंज जमा करना व्यक्ति
926,grhyasutra,गृह्यसूत्र
927,deflecting,विचलन
928,puzzlingly indiatimes,उलझन पैदा करते हुए इंडियाटाइम्स
929,pratyaksha,प्रत्यक्ष
930,mahabharat,महाभारत
931,fertilised infringing,निषेचित उल्लंघन करने वाली
932,perfection unsuitable,पूर्णता अनुपयुक्त
933,bengladesh,बांग्लादेश
934,evolutions phillipins,एवोल्यूशन्स फिलीपींस
935,hysterical,उन्माद
936,unresolved liberating,अनसुलझे मुक्ति
937,depositing,जमा
938,helsinborg,हेलसिंबोर्ग
939,luxembourg subsidized,लक्ज़मबर्ग रियायती
940,pakisthani disgusting mysterious,पाकिस्तानी घिनौना रहस्यमय
941,predefined shrotyagya,पूर्वनिर्धारित श्रोतयज्ञ
942,sitaramaya madhuvayya inhibiting,सितारामय मधुवैया बाधा
943,vidhyavati,विद्यावती
944,interposed,अंतर्विरोध
945,respectful decorating,सम्मानजनक सजा
946,diagnosing bookkeeper,निदान बहीखाता लिखनेवाला
947,vidhyapati,विद्यापति
948,offsprings,संतान
949,unwithered,मुरझाया हुआ
950,promptness devolution,मुस्तैदी हस्तांतरण
951,religionas ranipokhri,धर्म रानीपोखरी
952,premachand,प्रेमचंद
953,brahmbhatt chatripati,ब्रह्मभट्ट छत्रपति
954,jagannadha,जगन्नाध
955,provibited diminutive,प्रदान किया गया अल्पार्थक
956,forestline,वनरेखा
957,shamsuddin,शम्सुद्दीन
958,karmakanda substances dismantled,कर्मकांड पदार्थों ध्वस्त
959,prosthetic,कृत्रिम
960,convulsive monotonous,ऐंठन नीरस
961,landscapes,परिदृश्य
962,christened,नाम
963,enrollment,उपस्थिति पंजी
964,raghuvansh playthings sovietland,रघुवंश खेलने का सामान सोवियतलैंड
965,appreicate,मूल्यांकन करना
966,regulating humanities,विनियमन मानविकी
967,rheumatism medication,गठिया दवाई
968,vidhyapati superwomen,विद्यापति सुपरवुमन
969,inducement privatized,प्रलोभन निजीकरण
970,eloquently colleagues tiruprayar,अर्थपूर्ण सहकर्मी तिरुप्रयार
971,cincinnati,सिनसिनाटी
972,dissection,विच्छेदन
973,underbelly,पेट के नीचे
974,jyotirmath,ज्योतिर्मठ
975,transports cartooning,परिवहन कार्टून बनाना
976,amputation flightless,विच्छेदन उड़ने में असमर्थ
977,themselves,खुद
978,targetting,लक्ष्यीकरण
979,swarthmore addictions,स्वार्थमोर व्यसनों
980,oversupply,अधिक आपूर्ति
981,prabhawati covienient outlandish,प्रभावती सहसंयोजक विदेशी
982,jahiruddin,जहीरुद्दीन
983,reaffirmed atmosphere homogenous,फिर से पुष्टि की वायुमंडल समरूप
984,citycalled,शहर कहा जाता है
985,pravachans demarcates,प्रवचन सीमांकित
986,criticises timberless,की आलोचना लकड़ी रहित
987,nowrangpur,नौरंगपुर
988,attracting,को आकर्षित
989,mansarovar detergents kutumbakam,मानसरोवर डिटर्जेंट कुटुंबकम
990,temprature,तापमान
991,optimistic catwalking,आशावादी कैटवॉक
992,numberless,बेशुमार
993,kakshasana yudhisthir mayurbhanj,कक्षासन युधिष्ठिर मयूरभंज
994,brainwaves,मस्तिष्क तरंगे
995,concretely discretion ppolitical,वस्तुतः विवेक राजनीतिक
996,vidyaranya sprinkling,विद्यारण्य छिड़काव
997,camouflage,छलावरण
998,recessives,अवशिष्ट
999,oppressive naturecure waterproof,दमनकारी नेचरक्योर जलरोधक
1000,visualised,कल्पना
1001,catchments,जलग्रहण
1002,photobooth,फोन बूथ
1003,chaturvedi mutilation,चतुर्वेदी विकृति
1004,nationlist,राष्ट्रसूची
1005,worldiness,सांसारिकता
1006,regularity procedural,नियमितता ि यात्मक
1007,shortyagya,लघुयज्ञ
1008,attendance,उपस्थिति
1009,muktadhara,मुक्तधारा
1010,duplicates,डुप्लिकेट
1011,consummate deductions,समाप्त कटौती
1012,choodamani watersheds,चूड़ामणि वाटरशेड
1013,revelation opensource,रहस्योद्घाटन खुला स्त्रोत
1014,additative,योगात्मक
1015,substratum,बुनियाद
1016,habitually,अभ्यास के अनुसार
1017,vishwkarma,विश्वकर्मा
1018,reclaiming,रिक्लेमिंग
1019,nourishing fireplaces,नरिशिंग चिमनियों
1020,mosquitoes,मच्छर
1021,acontainer,कंटेनर
1022,indianness assignment,भारतीयता कार्यभार
1023,displaying,दिखा रहा
1024,balshastri,बालशास्त्री
1025,onslaughts,हमले
1026,jnanamruth struggling vichitrita,ज्ञानामृत संघर्षरत विचित्रिता
1027,invectives unerringly nitpicking,अपशब्द त्रुटिहीन रूप से नाइटपिकिंग
1028,timethough,हालांकि समय
1029,garikapadu chieftains muggeridge,गरिकापाडु सरदारों मुगेरिज
1030,contrversy correcting,विवाद को सही
1031,affidavits disguising,हलफनामों भेष बदलना
1032,despatched,भेजा
1033,emendation,संशोधन
1034,frequently,बार-बार
1035,katamaraju stewardess,कटमराजू भंडारिन
1036,virabhadra,वीरभद्र
1037,exotically,हॉलीवुड
1038,balkeshvar,बल्केश्वर
1039,contestant,प्रतियोगी
1040,salalullah mackertich imprudence,सलालुल्लाह मैकेरटिच नासमझी
1041,simulating,अनुकरण
1042,functional,कार्यात्मक
1043,telescopes immobilise,दूरबीन स्थिर
1044,jenulabdin vivekanand,जेनुलाब्दीन विवेकानंद
1045,acrobatics,नट की कला
1046,fertiliser,उर्वरक
1047,vernacular,मातृभाषा
1048,euchrysops divergence,यूक्रिसॉप्स विचलन
1049,sahabuddin,शहाबुद्दीन
1050,partitions unhindered,विभाजन निर्बाध
1051,beginnming revelation khengarpur,शुरुआत रहस्योद्घाटन खेंगरपुर
1052,suggestion,सुझाव
1053,buddhodana bramaputra incredible,बुद्धोदना ब्रह्मपुत्र अविश्वसनीय
1054,dharmaraja,धर्मराज
1055,retrospect idolatrous,पुनरावलोकन मूर्तिपूजक
1056,blithering,जी बहलानेवाला
1057,disastrous interestin,विनाशकारी दिलचस्पी है
1058,architrave cautiously professing,प्रस्तरपाद सावधानी से प्रोफ़ेसिंग
1059,telephones,टेलीफोन
1060,physiology,शरीर विज्ञान
1061,performing,प्रदर्शन
1062,kalabajrai,कालाबजराई
1063,infoscions eukaryotes,जानकारी यूकैर्योसाइटों
1064,lifeguards kazakhstan exploiters,जीवन-रक्षक कजाखस्तान शोषकों
1065,vibrations,कंपन
1066,propensity,प्रवृत्ति
1067,micrometre prithwiraj spaceships,माइक्रोमीटर पृथ्वीराज अंतरिक्ष यान
1068,originally surpachisi,मौलिक रूप से सर्पचिसी
1069,unbearable,असहनीय
1070,ejectments maintained,निष्कासन बनाए रखा
1071,everywhere,हर जगह
1072,remebering enthusiast,याद कर रहा हूँ सरगर्म
1073,benevolent,परोपकारी
1074,dwarikapet anarchical,द्वारिकापेट अराजक
1075,durability ahavamalla,टिकाऊपन अहवामल्ला
1076,castrating,के बधिया
1077,humanistic,मानवतावादी
1078,anesthesia gelderland,बेहोशी गेल्डरलैंड
1079,sapaaldesh subbulaxmi,sapalदेश सुब्बुलक्ष्मी
1080,douliganga,डौलीगंगा
1081,purchasing,क्रय
1082,janamejaya suzerainty,जनमेजय आधिपत्य
1083,kaathyayan videotapes cretaceous,कात्यायन वीडियोटेप क्रिटेशियस
1084,inflexible,अनम्य
1085,decendants,वंशज
1086,sucqessive,क्रमिक
1087,devenagari unsolvable stabilized,देवनागरी न सुलझा हुआ स्थिर
1088,characters fulgoridae glaciation,अक्षर फुलगोरिडे हिमाच्छादन
1089,crocodiles,मगरमच्छ
1090,manusmriti businesses unimposing,मनुस्मृति व्यवसाय निराधार
1091,warehouses admiration intellects,गोदामों प्रशंसा बुद्धि
1092,eighteenth,अठारहवाँ
1093,timberwork,लकड़ी का काम
1094,divestment,भंडाफोड़
1095,raghuvansh denouncing,रघुवंश निंदा
1096,jhaangeere,जहाँगीरे
1097,appreciate feedstuffs assertions,प्रशंसा करना चारा सामग्री इस प्रकार के दावे
1098,convincing microwaves undisposed,ठोस माइक्रोवेव विमुखता वाला
1099,truckloads audiobooks,ट्रक ऑडियो पुस्तकें
1100,cheapskate,घटिया
1101,alleviated,कम किया
1102,operatives,कार्यकर्ता
1103,accusation classified,आरोप वर्गीकृत
1104,resounding,शानदार
1105,challenged,चुनौतीः
1106,automobile,ऑटोमोबाइल
1107,epididymis,अधिवृषण
1108,muscovites complexion,मस्कोवाइट्स रंग
1109,carelessly,लापरवाही
1110,prevalence widespread,प्रसार बड़े पैमाने पर
1111,pittsburgh,पिट्सबर्ग
1112,continents,महाद्वीप
1113,bibhotheca,बिभोथेका
1114,jawaharlal dumbstruck,जवाहर लाल हक्का - बक्का रह जाना
1115,agarbattis,अगरबत्ती
1116,assurances,आश्वासनों
1117,moderation,संयम
1118,supervises,पर्यवेक्षण
1119,thesepoems forbidding,येकविताएँ अनिष्ट
1120,predispose,संभावना अधिक होती है
1121,himselfthe,स्वयं
1122,screenings,चोकर
1123,krishnadas,कृष्णदास
1124,pravavathi,प्रवाहति
1125,mackertich illiteracy supersonic,मैकेरटिच निरक्षरता पराध्वनिक
1126,immemorial,पुरातन
1127,paramhansa,परमहंस
1128,instrinsic defendants annoyances,स्वाभाविक बचाव पक्ष खीज
1129,principles,सिद्धांत
1130,targetting bitterness,लक्ष्यीकरण अप्रसन्नता
1131,charadhyay rashbehary,चराध्याय रैशबिहारी
1132,pilastered,स्तंभित
1133,pandharpur,पंढरपुर
1134,jethmalani,जेठमलानी
1135,bodyguards,अंगरक्षक
1136,karamchand kannadasan latterwere,करमचंद कन्नड़ासन बाद वाले थे
1137,fakhruddin,फखरुद्दीन
1138,muvarkovil,मुवरकोविल
1139,antithesis transforms,विलोम बदल देती है
1140,mukhchanda,मुखचंदा
1141,awasheshne,अवाशेषन
1142,destroyers,विध्वंसक
1143,sthirarasi,स्थिररासि
1144,whispering,धीरे-धीरे बोलना
1145,scientific,वैज्ञानिक
1146,gujaratand quadrupled,गुजरातटांड़ चार गुना
1147,evangelist,इंजीलवादी
1148,parswanath demarcates,पार्श्वनाथ सीमांकित
1149,precaution repayments,एहतियात पुनर्भुगतान
1150,gorgeously,शान से
1151,undeserved sultanates,नाहक सल्तनत
1152,destructed credential,विलुप्त क्रेडेंशियल
1153,inwarrence,आक्रमण
1154,gratifying,संतोषजनक
1155,mukhssraot,मुखस्राव
1156,subspecies journalist tyrannised,उप प्रजाति पत्रकार अत्याचारी
1157,connexions,कनेक्शंस
1158,yudhishtar collieries reducedand,युधिष्टर कोयला खदानों कम किया गया
1159,aghoranath gulfstream,अघोरनाथ गल्फस्ट्रीम
1160,terriorism,आतंकवादवाद
1161,indianness reservoirs boisterous,भारतीयता जलाशयों उद्दाम
1162,dispossess synergised discontent,छीन लेना तालमेल बिठाया असंतोष
1163,stabitlity casualness,स्थिरता अनौपचारिक तरीका
1164,economists inveitable aggregates,अर्थशास्त्रियों अपरिहार्य समुच्चय
1165,explosions resonators,विस्फोट प्रतिध्वनिकारक
1166,childbirth,प्रसव
1167,prabhabati bittorrent shaktibaan,प्रभाती बिटटोरेंट शक्तिबाण
1168,karolinska viratnagar suspending,करोलिंस्का विराटनगर निलंबित
1169,schoolboys,स्कूली बच्चों
1170,posthumous,मरणोत्तर
1171,rejuvenate,फिर से युवा करना
1172,uninvented,अविष्कारित
1173,veergatraj providence fortresses,वीरगतिराज मितव्ययिती किले
1174,engineered migrations,इंजीनियर माइग्रेशन
1175,vidyadhara thankfully,विद्याधर शुक्र है
1176,inequality navneetham aahamadiya,असमानता नवनीथम अहमदिया
1177,smartmodem suryakanth societythe,स्मार्टमोडेम सूर्यकांत समाज
1178,shortyagya unleavened,लघुयज्ञ अखमीरी
1179,surrenders ramayanais kaathyayan,समर्पण रामायणी कात्यायन
1180,monographs,मोनोग्राफ
1181,evangelize wickedness,इंजील का प्रचार करना दुष्टता
1182,defamation,मानहानि
1183,marathwada reconsider,मराठवाड़ा पुनर्विचार करना
1184,societythe foreshadow,समाज पहिले से सूचित करना
1185,mastercard successive marathwada,मास्टर कार्ड क्रमिक मराठवाड़ा
1186,ringverpur revitalise,रिंगवेरपुर पुनर्जीवित
1187,rearmament sriniketan,फिर से हथियारबंद होना श्रीनिकेतन
1188,mahapurana,महापुराण
1189,harivayasi annotation minimizing,हरिव्यासि टिप्पणी कम से कम
1190,vashishtha,वशिष्ठ
1191,grudgingly conquering,अनिच्छा से जीतने
1192,raasdreeya,रासद्रेय
1193,contenders suspending,दावेदार निलंबित
1194,redemption infliction,पाप मुक्ति सज़ा
1195,swarthmore,स्वार्थमोर
1196,adjudicate,निर्णय करना
1197,madhushala,मधुशाला
1198,concluding batavanana,समापन बतावनना
1199,warranting population,गारंटी जनसंख्या
1200,expression trumpeting vimanasthe,अभिव्यक्ति तुरही बजाना विमानस्थे
1201,sriniketan florescent,श्रीनिकेतन प्रतिदीप्त
1202,thrombosis,घनास्त्रता
1203,establised,स्थापित
1204,bhrattalam renovating,भ्रात्तलम मरम्मत
1205,propagated,प्रसारित
1206,profiteers emoluments,मुनाफाखोरों परिलब्धियां
1207,entorhinal spiderwebs,एंटोरहिनल मकड़ी के जाले
1208,splintered,कुचले
1209,unlikeness regularise,असमानता नियम के अनुसार करना
1210,observatio,अवलोकन
1211,violinists thulasiraj carelessly,वायलिनवादक तुलसीराज लापरवाही
1212,pleasantly bullheaded,सुख से हठीला
1213,birthplace,जन्मस्थल
1214,reimbursed,प्रतिपूर्ति
1215,plastering,पलस्तर
1216,polyploids,पॉलीप्लोइड्स
1217,hypotenuse,कर्ण
1218,construted sustenance,निर्मित जीविका
1219,saurashtra panjayavar,सौराष्ट्र पंजयावर
1220,mesmerized jayapataka adaptation,झूम उठे जयपताका अनुकूलन
1221,copenhagen,कोपेनहेगन
1222,undergoing sacrifices,के दौर से गुजर बलि
1223,unoccupied,खुला हुआ
1224,ashtadyayi retrograde analysinng,अष्टाध्यायी पतित विश्लेषण
1225,grihapindi,गृहपिंडी
1226,allegation dhamayanti astringent,आरोप धमयंती स्तम्मक
1227,submission shwetambar,जमा करना श्वेताम्बर
1228,perversity,प्रतिकूलता
1229,sivacharya discounted yudhishtir,शिवाचार्य छूट युधिष्ठिर
1230,recombined perception,पुनर्संयोजन धारणा
1231,structures,संरचनाएं
1232,unpunished,अदंडित
1233,culturable integument rajasthali,कृष्य झिल्ली राजस्थली
1234,recuperate,स्वस्थ हो जाना
1235,metropolis,महानगर
1236,respecting windshield,का सम्मान विंडशील्ड
1237,supergenes,सुपरजीन
1238,raibahadur,रायबहादुर
1239,brahnwnism,ब्राह्मणवाद
1240,disqualify,अयोग्य ठहराना
1241,recitative,भाषण
1242,comforting papanashak liberative,आराम देते पापनाशक उदारवादी
1243,accelerate,तेजी लाने
1244,crucifixes inscribing,सूली पर चढ़ना अंकित करना
1245,rashbehary,रैशबिहारी
1246,antarraman rahminical prescribed,अंतररमन ब्राह्मणवादी निर्धारित
1247,identified fossilised,पहचान की जीवाश्म
1248,bangladesh,बांग्लादेश
1249,pigmentosa demarcated fossilised,पिगमेंटोसा सीमांकन जीवाश्म
1250,attendants execration jantantrik,परिचारक फटकार जनतांत्रिक
1251,ashwadhama,अश्वधाम
1252,sponsoring,प्रायोजन
1253,wealthiest,सबसे धनी
1254,relatively,अपेक्षाकृत
1255,mahaprabhu,महाप्रभु
1256,chromosome managerial bodhisatva,क्रोमोसाम प्रबंधकीय बोधिसत्त्व
1257,militarily keddleston,फ़ौजी की मदद से केडलस्टन
1258,faqirullah shockingly,फकीरुल्लाह आश्चर्यजनक
1259,generality defilement,व्यापकता कलंक
1260,millimetre,मिलीमीटर
1261,threadbare,घिसा
1262,untalented infatuated,प्रतिभाहीन मुग्ध
1263,wanderings extracting,भटकना निकालने
1264,redefining,पुनर्परिभाषित
1265,contrition,पछतावा
1266,staggering,चक्कर
1267,diphtheria,डिप्थीरिया
1268,resurgence,पुनरुत्थान
1269,sterilized,रोगाणु
1270,playgroups,प्लेग्रुप
1271,satyagraha,सत्याग्रह
1272,eloquently,अर्थपूर्ण
1273,hrishikesh repugnance,ऋषिकेश घृणा
1274,oftentimes parchments,अक्सर चर्मपत्र
1275,surrenderd muthuswamy,आत्मसमर्पण कर दिया मुथुस्वामी
1276,orgination,उत्पत्ति
1277,govindsigh,गोविंदसाह
1278,perpetuate embioptera,यादगार बनाना एम्बियोप्टेरा
1279,transports nationwide,परिवहन राष्ट्रव्यापी
1280,translates criticized plantation,तब्दील हो आलोचना की वृक्षारोपण
1281,skyscraper interstate,गगनचुंबी इमारत अंतरराज्यीय
1282,embroidery,कढ़ाई
1283,rangbhoomi salivation,रंगभूमि राल निकालना
1284,adjudicate occassions,निर्णय करना अवसरों
1285,implicitly demarcates,उलझाव से सीमांकित
1286,swarthmore hillebrand recurrence,स्वार्थमोर हिलब्रांड पुनरावृत्ति
1287,purchasers,खरीदारों
1288,franchisee lumberjack victorious,फ्रेंचाइजी लकड़हारा विजयी
1289,durdarshan dissimilar,दूरदर्शन भिन्न
1290,bankimbabu akabarnama,बंकिमबाबू अकबरनामा
1291,countrythe chathavadi,देश छठवाडी
1292,concealing,छुपा
1293,patriotism,देश प्रेम
1294,bronchitis worshiping devolution,ब्रोंकाइटिस पूजा हस्तांतरण
1295,trajectory ridiculing newspapers,प्रक्षेपवक्र खिल्ली उड़ा समाचार पत्र
1296,decendants downsizing octaploids,वंशज आकार घटाने ऑक्टाप्लोइड्स
1297,vattakuram documentsa princesses,वट्टाकुरम दस्तावेज़ए राजकुमारियों
1298,slackening,ढीला होना
1299,neccessity anarchists geetimalya,ज़रूरत अराजकतावादी गीतिमल्या
1300,fraudulent widescreen ghantaghar,धोखाधड़ी वाइडस्क्रीन घंटाघर
1301,thoughtful shortfalls initiators,विचारमग्न खामियों आरंभकर्ताओं
1302,covienient,सहसंयोजक
1303,positional splintered,अवस्था का कुचले
1304,snorkeling,स्नॉर्कलिंग
1305,dilatation exigencies,फैलाव मजबूरियों
1306,worshiping possessing,पूजा जिनके पास
1307,decendence delivering psychopath,शालीनता देते मनोरोगी
1308,derbyshire,डर्बीशायर
1309,standstone remingtton protective,स्टैंडस्टोन रेमिंगटन रक्षात्मक
1310,livelihood,आजीविका
1311,discoverer inhibitory,खोजकर्ता निरोधात्मक
1312,petersburg,पीटर्सबर्ग
1313,colombians,कोलंबियाई
1314,sapladaksh syncopated malihabadi,सप्लादक्ष संकुचित मलिहाबादी
1315,nasirudeen,नसीरुद्दीन
1316,consistent,सुसंगत
1317,alpanasika conspiracy,अल्पनासिका षड़यंत्र
1318,negatively,नकारात्मक
1319,rogasajyay,रोगसज्यय
1320,professing aficionado subpoenaed,प्रोफ़ेसिंग एफ़िसिओनाडो सम्मन जारी
1321,batavanana polydypsia,बतावनना पॉलीडिप्सिया
1322,streetside suffocated,सड़कों पर घुटन
1323,pronounces interestin,उच्चारण करता दिलचस्पी है
1324,displacing recombined,डिसप्लेसिंग पुनर्संयोजन
1325,headlights,हेडलाइट्स
1326,appraisals,मूल्यांकन
1327,klebsiella yashodhara,क्लेबसिएला यशोधरा
1328,performers imposition,कलाकार आरोपण
1329,explicable assemblage brailsford,समझाने के योग्य संयोजन ब्रिल्सफ़ोर्ड
1330,shamaniyya,शामनिया
1331,suddhodana butperhaps kanakapura,सुद्धोदन लेकिन शायद कनकपुरा
1332,evangelist unmetalled,इंजीलवादी कच्ची
1333,yudhishtar descendant mesosphere,युधिष्टर वंशज मीसोस्फीयर
1334,veneration terrrorism modernized,उपासना आतंक आधुनिकीकरण
1335,guidelines devanagary,दिशा निर्देशों देवनागरी
1336,dheepshika,दीपशिखा
1337,parenthood vegetables greediness,पितृत्व सब्ज़ियाँ लालच
1338,supposedly indication concession,माना जाता है संकेत छूट
1339,absconding,फरार
1340,homozygote grrenhouse,समयुग्मज ग्रेनहाउस
1341,dramatised,नाटकीय
1342,dependants volleyball,आश्रितों वालीबाल
1343,uncensored saccharine,बिना सेंसर चीनी का
1344,mendicants,भिक्षुक
1345,naithanial,नैथेनियल
1346,dvijesvara,द्विजेश्वर
1347,profitably incereased,सफलता से निरंतर
1348,spacecraft unscramble,अंतरिक्ष यान खोलना
1349,externally saurashtra,बाहर से सौराष्ट्र
1350,aisrleshon internally,ऐसर्लेशोन आंतरिक रूप
1351,mussoulini,मुसोलिनी
1352,disordered,बेक़ायदा
1353,yekachakra,येकचक्र
1354,summarised,संक्षेप
1355,catalogued,सूचीबद्ध
1356,outperform,मात करना
1357,capitulate,शर्त पर हथियार डाल देना
1358,interested,इच्छुक
1359,fellowship,संगति
1360,nasiruddin,नसीरुद्दीन
1361,taittareya,तैत्तरेय
1362,possitione unleavened,स्थिति अखमीरी
1363,perforated,छिद्रित
1364,acquainted motherless suddodhana,परिचित माता सुद्दोधन
1365,similitude vachaspati,समानता वाचस्पति
1366,classrooms reiterates landslides,कक्षाओं दोहराती भूस्खलन
1367,integument,झिल्ली
1368,adolescent mournfully,किशोर अफसोस जताते हुए
1369,fontanelle,ब्रह्मारंध्र
1370,contracted,संकुचित
1371,brunetteis visualised,ब्रुनेटिस कल्पना
1372,reinforces,पुष्ट
1373,mahamaarat attributed,महामारत जिम्मेदार ठहराया
1374,chokerwali outgrowing,चोकरवाली कम पड़ने
1375,jogeshvari straightly,जोगेश्वरी सीधे तौर पर
1376,scavengers,खोजी
1377,customised unlikeness,स्वनिर्धारित असमानता
1378,inhibition,निषेध
1379,palaeozoic,पुराजीवी
1380,religionas checkmated,धर्म शह पाकर मात
1381,behrampore,बरहामपुर
1382,maharashta jambudweep,महाराष्ट्र जम्बूद्वीप
1383,antagonism restrained coffeeshop,विरोध संयमित कॉफी की दुकान
1384,sanskrutik diminishes raghavanka,संस्कृत कम हो राघवंका
1385,penalising,दंडित
1386,unsettling,बेचैन
1387,aeroplanes lingayatas vichitrita,हवाई जहाज लिंगायत विचित्रिता
1388,togathered,एकत्रित
1389,incubators ashwaghosh,इनक्यूबेटर अश्वघोष
1390,containing,युक्त
1391,cohabiting fastidious,सहवास दुराराध्य
1392,toothpaste,टूथपेस्ट
1393,unsuitable triviality instructed,अनुपयुक्त तुच्छता निर्देश दिए
1394,salutation demolished flashbacks,अभिवादन ध्वस्त फ्लैशबैक
1395,papillaris visualized censorious,पैपिलारिस कल्पना सख़्त
1396,ashavamedh dadamashai farsighted,अश्वमेध दादामशाय दूरंदेश
1397,cooperated,सहयोग
1398,philippine,फिलीपीन
1399,respective kmbhakarna,संबंधित किमीभकर्ण
1400,outfitting,साज
1401,aftershock marketable,आफ्टरशॉक बिक्री के योग्य
1402,consonants,व्यंजन
1403,themeaning,अर्थ
1404,ejaculated intellects,वीर्यपात हो गया बुद्धि
1405,cranksthey,क्रैंकवे
1406,telegraphy adityanath persecuted,टेलीग्राफी आदित्यनाथ सताए
1407,mechanisms,तंत्र
1408,irradiance holochlora,विकिरण होलोक्लोरा
1409,ejaculated underlines,वीर्यपात हो गया को रेखांकित करता है
1410,governance,शासन
1411,muradabaad,मुरादाबाद
1412,aaryavarti,आर्यावर्ती
1413,positional childbirth,अवस्था का प्रसव
1414,durationof,अवधि
1415,sisterhood pugnacious,महिला संघ झगड़ालू
1416,substances reconsider,पदार्थों पुनर्विचार करना
1417,tomentosus yudhisthir pesticidal,टोमेंटोसस युधिष्ठिर कीटनाशी
1418,campaigned,प्रचार किया
1419,manusmriti,मनुस्मृति
1420,backhanded lighthouse,व्यंग भरी प्रकाशस्तंभ
1421,nudeotides,न्यूडोटाइड्स
1422,supportive,सहायक
1423,carburetor,कैब्युरटर
1424,jawaherlal counteract shrinkhala,जवाहरलाल प्रतिक्रिया श्रिंकला
1425,delivering,देते
1426,chinatowns prabhabati,चाइनाटाउन प्रभाती
1427,discreetly skylighter,सावधानी से रोशनदान
1428,millimetre supportand,मिलीमीटर समर्थनऔर
1429,insulation,इन्सुलेशन
1430,newzealand,न्यूज़ीलैंड
1431,regularize introspect,नियम के अनुसार करना आत्मनिरीक्षण
1432,yugdrashta effulgence,युगदृष्टा प्रभा
1433,dissipated perceptual,व्यस्त अवधारणात्मक
1434,broadcasts beliaghata,प्रसारण बेलियाघाटा
1435,onomastico,ओनोमैस्टिको
1436,carcinogen,कासीनजन
1437,stablished,स्थापित
1438,beneficial excitement,लाभदायक उत्तेजना
1439,regionsthe,क्षेत्र
1440,combatants vajrshwari seasonally,लड़ाकों वज्रेश्वरी मौसम के
1441,deepshikha,दीपशिखा
1442,interjects kapishtala mumtajganj,हस्तक्षेप करता है कपिष्टला मुमताजगंज
1443,adamantine mantaining shahanshah,कड़ा बनाए रखना शहंशाह
1444,supersonic,पराध्वनिक
1445,brightened accretions,चमकाया अभिवृद्धि
